"",index,bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0,0,56.0,3626.0,8.0,2.0,2.0,1.0,1.0,20.0,True,2,False,NaN,45-35,True
1,1,0.0,16.0,3.0,17.0,10070.0,7.0,2.0,8.0,True,4,False,NaN,45-35,True
2,2,46.0,2602.0,16.0,5.0,3.0,1.0,1.0,21.0,True,2,False,NaN,47-37,True
3,3,0.0,7.0,3.0,30.0,8521.0,44.0,9.0,34.0,True,4,False,NaN,47-37,True
4,4,19.0,327.0,22.0,23.0,5.0,1.0,1.0,22.0,True,2,False,NaN,49-39,True
5,5,2.0,14.0,7.0,27.0,10234.0,15.0,14.0,89.0,True,4,False,NaN,49-39,True
6,6,7.0,194.0,63.0,39.0,11.0,6.0,22.0,53.0,True,2,False,NaN,51-41,True
7,7,1.0,19.0,24.0,203.0,4993.0,11.0,15.0,245.0,True,4,False,NaN,51-41,True
8,8,25.0,156.0,90.0,13.0,6.0,12.0,44.0,28.0,True,2,False,NaN,53-43,True
9,9,14.0,65.0,44.0,113.0,13744.0,17.0,31.0,155.0,True,4,False,NaN,53-43,True
10,10,15.0,285.0,13.0,17.0,13.0,20.0,15.0,24.0,True,2,False,NaN,55-45,True
11,11,6.0,37.0,10.0,88.0,11365.0,5.0,8.0,85.0,True,4,False,NaN,55-45,True
12,12,72.0,1639.0,4.0,3.0,2.0,0.0,1.0,24.0,True,2,True,4.0,NT-1,False
13,13,0.0,0.0,1.0,7869.0,10694.0,0.0,0.0,1.0,True,4,True,1.0,NT-1,False
14,14,58.0,1713.0,6.0,4.0,6.0,2.0,1.0,25.0,True,2,True,4.0,NT-2,False
15,15,0.0,1.0,2.0,10145.0,12270.0,1.0,0.0,0.0,True,4,True,1.0,NT-2,False
16,16,38.0,1260.0,5.0,3.0,2.0,0.0,0.0,15.0,True,2,True,4.0,NT-3,False
17,17,0.0,0.0,1.0,5850.0,7653.0,2.0,0.0,4.0,True,4,True,1.0,NT-3,False
18,18,32.0,1167.0,5.0,4.0,2.0,0.0,0.0,18.0,True,2,True,4.0,NT-4,False
19,19,0.0,0.0,1.0,6176.0,8227.0,2.0,0.0,1.0,True,4,True,1.0,NT-4,False
20,20,44.0,1761.0,4.0,3.0,2.0,0.0,1.0,23.0,True,2,True,4.0,NT-5,False
21,21,0.0,0.0,1.0,7402.0,9774.0,1.0,0.0,1.0,True,4,True,1.0,NT-5,False
22,22,41.0,1163.0,8.0,5.0,2.0,0.0,0.0,20.0,True,2,True,4.0,NT-6,False
23,23,0.0,0.0,1.0,6557.0,9010.0,0.0,0.0,1.0,True,4,True,1.0,NT-6,False
24,24,69.0,1490.0,3.0,4.0,3.0,1.0,1.0,23.0,True,2,True,4.0,NT-7,False
25,25,0.0,0.0,1.0,7499.0,10913.0,1.0,0.0,1.0,True,4,True,1.0,NT-7,False
26,0,36.0,2563.0,7.0,3.0,2.0,1.0,1.0,20.0,True,2,True,4.0,45-37,True
27,1,0.0,0.0,1.0,5.0,8429.0,7.0,1.0,2.0,True,4,False,NaN,45-37,True
28,2,26.0,1001.0,38.0,12.0,5.0,2.0,1.0,21.0,True,2,False,NaN,47-39,True
29,3,5.0,86.0,19.0,12.0,4181.0,111.0,11.0,41.0,True,4,False,NaN,47-39,True
30,4,17.0,1528.0,21.0,3.0,1.0,1.0,1.0,17.0,True,2,False,NaN,49-41,True
31,5,1.0,165.0,35.0,17.0,991.0,155.0,31.0,26.0,True,4,False,NaN,49-41,True
32,6,19.0,580.0,92.0,102.0,6.0,2.0,2.0,24.0,True,2,False,NaN,51-43,True
33,7,89.0,21.0,13.0,30.0,2482.0,78.0,110.0,173.0,True,4,False,NaN,51-43,True
34,8,15.0,603.0,85.0,50.0,6.0,2.0,2.0,22.0,True,2,False,NaN,53-45,True
35,9,1.0,71.0,24.0,89.0,2706.0,37.0,10.0,106.0,True,4,False,NaN,53-45,True
36,10,15.0,847.0,133.0,35.0,6.0,5.0,3.0,23.0,True,2,False,NaN,55-47,True
37,11,3.0,165.0,25.0,53.0,7617.0,122.0,20.0,35.0,True,4,False,NaN,55-47,True
38,12,36.0,2760.0,3.0,3.0,2.0,1.0,0.0,22.0,True,2,True,4.0,NT-45-25,False
39,13,0.0,0.0,0.0,8654.0,9880.0,0.0,0.0,1.0,True,4,True,1.0,NT-45-25,False
40,14,49.0,1974.0,8.0,3.0,2.0,1.0,1.0,26.0,True,2,True,4.0,NT-47-27,False
41,15,0.0,0.0,1.0,8942.0,12312.0,0.0,0.0,3.0,True,4,True,1.0,NT-47-27,False
42,16,41.0,1629.0,5.0,3.0,2.0,1.0,1.0,23.0,True,2,True,4.0,NT-49-29,False
43,17,0.0,0.0,0.0,9271.0,12064.0,0.0,0.0,2.0,True,4,True,1.0,NT-49-29,False
44,18,86.0,2076.0,5.0,4.0,2.0,1.0,1.0,24.0,True,2,True,4.0,NT-51-31,False
45,19,0.0,0.0,0.0,9637.0,11950.0,0.0,0.0,3.0,True,4,True,1.0,NT-51-31,False
46,20,110.0,2507.0,4.0,3.0,2.0,1.0,0.0,24.0,True,2,True,4.0,NT-53-33,False
47,21,0.0,0.0,0.0,8729.0,11287.0,0.0,0.0,2.0,True,4,True,1.0,NT-53-33,False
48,22,129.0,1627.0,5.0,4.0,4.0,2.0,1.0,24.0,True,2,True,4.0,NT-55-35,False
49,23,0.0,0.0,1.0,8022.0,13134.0,0.0,0.0,4.0,True,4,True,1.0,NT-55-35,False
50,24,71.0,2361.0,3.0,3.0,2.0,1.0,1.0,22.0,True,2,True,4.0,NT-NM,False
51,25,0.0,0.0,0.0,8741.0,12737.0,0.0,0.0,5.0,True,4,True,1.0,NT-NM,False
52,0,28.0,1364.0,44.0,7.0,7.0,2.0,2.0,23.0,True,2,False,NaN,45-35,True
53,1,2.0,34.0,53.0,224.0,3503.0,136.0,21.0,47.0,True,4,False,NaN,45-35,True
54,2,14.0,336.0,23.0,77.0,6.0,1.0,2.0,24.0,True,2,False,NaN,47-37,True
55,3,1.0,217.0,58.0,127.0,2307.0,223.0,125.0,125.0,True,4,False,NaN,47-37,True
56,4,18.0,345.0,16.0,49.0,5.0,2.0,2.0,25.0,True,2,False,NaN,49-39,True
57,5,1.0,76.0,38.0,126.0,3045.0,170.0,55.0,63.0,True,4,False,NaN,49-39,True
58,6,16.0,323.0,67.0,164.0,22.0,3.0,2.0,25.0,True,2,False,NaN,51-41,True
59,7,0.0,564.0,163.0,59.0,6444.0,91.0,51.0,48.0,True,4,False,NaN,51-41,True
60,8,25.0,312.0,33.0,269.0,63.0,8.0,5.0,28.0,True,2,False,NaN,53-43,True
61,9,0.0,255.0,156.0,55.0,2383.0,100.0,18.0,20.0,True,4,False,NaN,53-43,True
62,10,13.0,313.0,70.0,199.0,48.0,3.0,2.0,22.0,True,2,False,NaN,55-45,True
63,11,32.0,1187.0,4.0,5.0,4.0,1.0,1.0,24.0,True,2,True,4.0,NT-1,False
64,12,0.0,1.0,2.0,6487.0,8554.0,2.0,1.0,10.0,True,4,True,1.0,NT-1,False
65,13,15.0,1442.0,6.0,3.0,2.0,1.0,1.0,23.0,True,2,True,4.0,NT-2,False
66,14,0.0,1.0,1.0,6561.0,7923.0,3.0,1.0,9.0,True,4,True,1.0,NT-2,False
67,15,59.0,2005.0,7.0,3.0,2.0,1.0,1.0,24.0,True,2,True,4.0,NT-3,False
68,16,0.0,1.0,1.0,6300.0,7496.0,1.0,0.0,2.0,True,4,True,1.0,NT-3,False
69,17,45.0,2718.0,8.0,3.0,2.0,1.0,1.0,23.0,True,2,True,4.0,NT-4,False
70,18,0.0,1.0,1.0,6078.0,6950.0,1.0,0.0,5.0,True,4,True,1.0,NT-4,False
71,19,29.0,1876.0,6.0,3.0,3.0,1.0,1.0,23.0,True,2,True,4.0,NT-45-24,False
72,20,0.0,0.0,1.0,6032.0,6388.0,2.0,1.0,4.0,True,4,True,1.0,NT-45-24,False
73,21,25.0,1544.0,6.0,5.0,5.0,1.0,1.0,24.0,True,2,True,4.0,NT-55-34,False
74,22,0.0,1.0,1.0,6010.0,8826.0,2.0,1.0,24.0,True,4,True,1.0,NT-55-34,False
75,23,29.0,2578.0,6.0,3.0,2.0,1.0,1.0,22.0,True,2,True,4.0,NT-NM,False
76,24,0.0,0.0,0.0,8443.0,13055.0,0.0,0.0,6.0,True,4,True,1.0,NT-NM,False
77,0,26.0,1014.0,310.0,5.0,3.0,1.0,1.0,21.0,True,2,False,NaN,45-35,True
78,1,0.0,21.0,6.0,134.0,10446.0,138.0,11.0,19.0,True,4,False,NaN,45-35,True
79,2,21.0,513.0,30.0,53.0,13.0,3.0,3.0,23.0,True,2,False,NaN,47-37,True
80,3,0.0,109.0,75.0,46.0,10241.0,124.0,53.0,122.0,True,4,False,NaN,47-37,True
81,4,15.0,324.0,29.0,165.0,50.0,5.0,2.0,24.0,True,2,False,NaN,49-39,True
82,5,3.0,289.0,83.0,79.0,11141.0,109.0,18.0,30.0,True,4,False,NaN,49-39,True
83,6,35.0,370.0,58.0,381.0,45.0,2.0,4.0,32.0,True,2,False,NaN,51-41,True
84,7,1.0,537.0,73.0,87.0,12449.0,44.0,25.0,74.0,True,4,False,NaN,51-41,True
85,8,26.0,261.0,16.0,45.0,52.0,3.0,2.0,24.0,True,2,False,NaN,53-43,True
86,9,0.0,559.0,90.0,182.0,14530.0,25.0,22.0,30.0,True,4,False,NaN,53-43,True
87,10,14.0,197.0,19.0,62.0,20.0,2.0,4.0,25.0,True,2,False,NaN,55-45,True
88,11,1.0,265.0,64.0,69.0,11999.0,43.0,15.0,26.0,True,4,False,NaN,55-45,True
89,12,60.0,1264.0,4.0,4.0,5.0,1.0,2.0,27.0,True,2,True,4.0,NT-1,False
90,13,0.0,0.0,1.0,7037.0,10276.0,1.0,0.0,6.0,True,4,True,1.0,NT-1,False
91,14,46.0,1249.0,8.0,3.0,5.0,2.0,1.0,27.0,True,2,True,4.0,NT-2,False
92,15,0.0,0.0,0.0,6845.0,9854.0,1.0,0.0,9.0,True,4,True,1.0,NT-2,False
93,16,31.0,1519.0,8.0,4.0,3.0,1.0,1.0,26.0,True,2,True,4.0,NT-3,False
94,17,0.0,0.0,0.0,6559.0,9231.0,2.0,0.0,9.0,True,4,True,1.0,NT-3,False
95,18,56.0,1448.0,5.0,3.0,2.0,1.0,1.0,23.0,True,2,True,4.0,NT-4,False
96,19,0.0,0.0,0.0,6175.0,8480.0,1.0,0.0,7.0,True,4,True,1.0,NT-4,False
97,20,15.0,1815.0,6.0,4.0,3.0,1.0,1.0,25.0,True,2,True,4.0,NT-45-20,False
98,21,0.0,0.0,0.0,5924.0,7989.0,1.0,0.0,6.0,True,4,True,1.0,NT-45-20,False
99,22,25.0,1554.0,5.0,4.0,5.0,1.0,1.0,26.0,True,2,True,4.0,NT-55-30,False
100,23,0.0,0.0,1.0,7141.0,11216.0,0.0,0.0,10.0,True,4,True,1.0,NT-55-30,False
101,24,36.0,2505.0,6.0,3.0,2.0,1.0,1.0,23.0,True,2,True,4.0,NT-NM,False
102,25,0.0,1.0,1.0,6659.0,12589.0,1.0,0.0,8.0,True,4,True,1.0,NT-NM,False
103,0,12.0,920.0,41.0,5.0,5.0,2.0,2.0,22.0,True,2,False,NaN,45-37,True
104,1,1.0,51.0,38.0,122.0,7652.0,103.0,15.0,14.0,True,4,False,NaN,45-37,True
105,2,27.0,1026.0,31.0,5.0,6.0,2.0,2.0,22.0,True,2,False,NaN,47-39,True
106,3,0.0,94.0,91.0,191.0,5368.0,57.0,21.0,36.0,True,4,False,NaN,47-39,True
107,4,20.0,799.0,175.0,12.0,5.0,2.0,2.0,18.0,True,2,False,NaN,49-41,True
108,5,2.0,53.0,30.0,83.0,1597.0,15.0,5.0,26.0,True,4,False,NaN,49-41,True
109,6,13.0,864.0,39.0,31.0,8.0,2.0,2.0,22.0,True,2,False,NaN,51-43,True
110,7,2.0,74.0,22.0,42.0,2510.0,36.0,14.0,35.0,True,4,False,NaN,51-43,True
111,8,3.0,786.0,52.0,47.0,8.0,2.0,2.0,23.0,True,2,False,NaN,53-45,True
112,9,2.0,156.0,37.0,92.0,3996.0,72.0,18.0,25.0,True,4,False,NaN,53-45,True
113,10,10.0,298.0,492.0,109.0,5.0,2.0,1.0,21.0,True,2,False,NaN,55-47,True
114,11,7.0,140.0,17.0,45.0,3908.0,82.0,226.0,106.0,True,4,False,NaN,55-47,True
115,12,25.0,1740.0,5.0,5.0,3.0,1.0,1.0,25.0,True,2,True,4.0,NM,True
116,13,0.0,1.0,1.0,7706.0,11284.0,1.0,0.0,3.0,True,4,True,1.0,NM,True
117,14,35.0,2022.0,10.0,4.0,5.0,1.0,1.0,24.0,True,2,True,4.0,NT-1,False
118,15,0.0,0.0,0.0,7368.0,11145.0,0.0,0.0,1.0,True,4,True,1.0,NT-1,False
119,16,79.0,1850.0,7.0,3.0,1.0,1.0,1.0,22.0,True,2,True,4.0,NT-2,False
120,17,0.0,0.0,0.0,8535.0,11090.0,0.0,0.0,1.0,True,4,True,1.0,NT-2,False
121,18,43.0,1633.0,6.0,4.0,2.0,1.0,1.0,23.0,True,2,True,4.0,NT-3,False
122,19,0.0,0.0,0.0,8084.0,10524.0,0.0,0.0,1.0,True,4,True,1.0,NT-3,False
123,20,30.0,1750.0,4.0,2.0,2.0,1.0,0.0,24.0,True,2,True,4.0,NT-4,False
124,21,0.0,0.0,0.0,8361.0,9904.0,0.0,0.0,1.0,True,4,True,1.0,NT-4,False
125,22,54.0,2732.0,3.0,3.0,1.0,0.0,0.0,23.0,True,2,True,4.0,NT-45-25,False
126,23,0.0,0.0,0.0,7272.0,9331.0,0.0,0.0,0.0,True,4,True,1.0,NT-45-25,False
127,24,55.0,2156.0,8.0,3.0,5.0,2.0,1.0,25.0,True,2,True,4.0,NT-55-35,False
128,25,0.0,0.0,1.0,7432.0,11369.0,1.0,0.0,1.0,True,4,True,1.0,NT-55-35,False
